id,source,referenceId,counterparty,amount,currency,date,description,type,category
B3-LDG-001,LEDGER,"SET3-PAY-2026-0801-2","ApexData",23395.50,INR,2026-08-04,"Accounts Receivable settlement - ApexData",CREDIT,"Accounts Receivable"
B3-LDG-002,LEDGER,"SET3-PAY-2026-0801-3","StreamLine Global",28101.00,INR,2026-08-07,"SaaS Revenue settlement - StreamLine Global",CREDIT,"SaaS Revenue"
B3-LDG-003,LEDGER,"SET3-PAY-2026-0801-4","PinnacleSoft",32806.50,INR,2026-08-10,"Consulting settlement - PinnacleSoft",CREDIT,"Consulting"
B3-LDG-004,LEDGER,"SET3-PAY-2026-0801-5","CloudVertex",37512.00,INR,2026-08-13,"License Revenue settlement - CloudVertex",CREDIT,"License Revenue"
B3-LDG-005,LEDGER,"SET3-PAY-2026-0801-1","IronGate GmbH",42217.50,INR,2026-08-16,"Enterprise Contract settlement - IronGate GmbH",CREDIT,"Enterprise Contract"
B3-LDG-006,LEDGER,"SET3-PAY-2026-0802-2","AeroDynamic Labs",46923.00,INR,2026-08-19,"Support Fees settlement - AeroDynamic Labs",CREDIT,"Support Fees"
B3-LDG-007,LEDGER,"SET3-PAY-2026-0802-3","Hyperion Dynamics",48020.00,INR,2026-08-22,"Project Payment settlement - Hyperion Dynamics",CREDIT,"Project Payment"
B3-LDG-008,LEDGER,"SET3-PAY-2026-0802-4","PulsePoint Media",52725.50,INR,2026-08-25,"Wire Transfer settlement - PulsePoint Media",CREDIT,"Wire Transfer"
B3-LDG-009,LEDGER,"SET3-PAY-2026-0802-5","NovaBridge",57431.00,INR,2026-08-01,"Vendor Payment settlement - NovaBridge",CREDIT,"Vendor Payment"
B3-LDG-010,LEDGER,"SET3-PAY-2026-0802-1","AlphaStream AI",62136.50,INR,2026-08-04,"Services settlement - AlphaStream AI",CREDIT,"Services"
B3-LDG-011,LEDGER,"SET3-PAY-2026-0803-2","ApexData",66842.00,INR,2026-08-07,"Accounts Receivable settlement - ApexData",CREDIT,"Accounts Receivable"
B3-LDG-012,LEDGER,"SET3-PAY-2026-0803-3","StreamLine Global",71547.50,INR,2026-08-10,"SaaS Revenue settlement - StreamLine Global",CREDIT,"SaaS Revenue"
B3-LDG-013,LEDGER,"SET3-PAY-2026-0803-4","PinnacleSoft",76253.00,INR,2026-08-13,"Consulting settlement - PinnacleSoft",CREDIT,"Consulting"
B3-LDG-014,LEDGER,"SET3-PAY-2026-0803-5","CloudVertex",77350.00,INR,2026-08-16,"License Revenue settlement - CloudVertex",CREDIT,"License Revenue"
B3-LDG-015,LEDGER,"SET3-PAY-2026-0803-1","IronGate GmbH",82055.50,INR,2026-08-19,"Enterprise Contract settlement - IronGate GmbH",CREDIT,"Enterprise Contract"
B3-LDG-016,LEDGER,"SET3-PAY-2026-0804-2","AeroDynamic Labs",86761.00,INR,2026-08-22,"Support Fees settlement - AeroDynamic Labs",CREDIT,"Support Fees"
B3-LDG-017,LEDGER,"SET3-PAY-2026-0804-3","Hyperion Dynamics",91466.50,INR,2026-08-25,"Project Payment settlement - Hyperion Dynamics",CREDIT,"Project Payment"
B3-LDG-018,LEDGER,"SET3-PAY-2026-0804-4","PulsePoint Media",96172.00,INR,2026-08-01,"Wire Transfer settlement - PulsePoint Media",DEBIT,"Wire Transfer"
B3-LDG-019,LEDGER,"SET3-PAY-2026-0804-5","NovaBridge",100877.50,INR,2026-08-04,"Vendor Payment settlement - NovaBridge",CREDIT,"Vendor Payment"
B3-LDG-020,LEDGER,"SET3-PAY-2026-0804-1","AlphaStream AI",105583.00,INR,2026-08-07,"Services settlement - AlphaStream AI",CREDIT,"Services"
B3-LDG-021,LEDGER,"SET3-PAY-2026-0805-2","ApexData",106680.00,INR,2026-08-10,"Accounts Receivable settlement - ApexData",CREDIT,"Accounts Receivable"
B3-LDG-022,LEDGER,"SET3-PAY-2026-0805-3","StreamLine Global",111385.50,INR,2026-08-13,"SaaS Revenue settlement - StreamLine Global",CREDIT,"SaaS Revenue"
B3-LDG-023,LEDGER,"SET3-PAY-2026-0805-4","PinnacleSoft",116091.00,INR,2026-08-16,"Consulting settlement - PinnacleSoft",CREDIT,"Consulting"
B3-LDG-024,LEDGER,"SET3-PAY-2026-0805-5","CloudVertex",120796.50,INR,2026-08-19,"License Revenue settlement - CloudVertex",CREDIT,"License Revenue"
B3-LDG-025,LEDGER,"SET3-PAY-2026-0805-1","IronGate GmbH",125502.00,INR,2026-08-22,"Enterprise Contract settlement - IronGate GmbH",CREDIT,"Enterprise Contract"
B3-LDG-026,LEDGER,"SET3-PAY-2026-0806-2","AeroDynamic Labs",130207.50,INR,2026-08-25,"Support Fees settlement - AeroDynamic Labs",CREDIT,"Support Fees"
B3-LDG-027,LEDGER,"SET3-PAY-2026-0806-3","Hyperion Dynamics",134913.00,INR,2026-08-01,"Project Payment settlement - Hyperion Dynamics",CREDIT,"Project Payment"
B3-LDG-028,LEDGER,"SET3-PAY-2026-0806-4","PulsePoint Media",136010.00,INR,2026-08-04,"Wire Transfer settlement - PulsePoint Media",CREDIT,"Wire Transfer"
B3-LDG-029,LEDGER,"SET3-PAY-2026-0806-5","NovaBridge",140715.50,INR,2026-08-07,"Vendor Payment settlement - NovaBridge",CREDIT,"Vendor Payment"
B3-LDG-030,LEDGER,"SET3-PAY-2026-0806-1","AlphaStream AI",145421.00,INR,2026-08-10,"Services settlement - AlphaStream AI",CREDIT,"Services"
B3-LDG-031,LEDGER,"SET3-PAY-2026-0807-2","ApexData",150126.50,INR,2026-08-13,"Accounts Receivable settlement - ApexData",CREDIT,"Accounts Receivable"
B3-LDG-032,LEDGER,"SET3-PAY-2026-0807-3","StreamLine Global",154832.00,INR,2026-08-16,"SaaS Revenue settlement - StreamLine Global",CREDIT,"SaaS Revenue"
B3-LDG-033,LEDGER,"SET3-PAY-2026-0807-4","PinnacleSoft",159537.50,INR,2026-08-19,"Consulting settlement - PinnacleSoft",CREDIT,"Consulting"
B3-LDG-034,LEDGER,"SET3-PAY-2026-0807-5","CloudVertex",164243.00,INR,2026-08-22,"License Revenue settlement - CloudVertex",CREDIT,"License Revenue"
B3-LDG-035,LEDGER,"SET3-PAY-2026-0807-1","IronGate GmbH",165340.00,INR,2026-08-25,"Enterprise Contract settlement - IronGate GmbH",CREDIT,"Enterprise Contract"
B3-LDG-036,LEDGER,"SET3-PAY-2026-0808-2","AeroDynamic Labs",170045.50,INR,2026-08-01,"Support Fees settlement - AeroDynamic Labs",DEBIT,"Support Fees"
B3-LDG-037,LEDGER,"SET3-PAY-2026-0808-3","Hyperion Dynamics",174751.00,INR,2026-08-04,"Project Payment settlement - Hyperion Dynamics",CREDIT,"Project Payment"
B3-LDG-038,LEDGER,"SET3-PAY-2026-0808-4","PulsePoint Media",179456.50,INR,2026-08-07,"Wire Transfer settlement - PulsePoint Media",CREDIT,"Wire Transfer"
B3-LDG-039,LEDGER,"SET3-PAY-2026-0808-5","NovaBridge",184162.00,INR,2026-08-10,"Vendor Payment settlement - NovaBridge",CREDIT,"Vendor Payment"
B3-LDG-040,LEDGER,"SET3-PAY-2026-0808-1","AlphaStream AI",188867.50,INR,2026-08-13,"Services settlement - AlphaStream AI",CREDIT,"Services"
B3-LDG-041,LEDGER,"SET3-PAY-2026-0809-2","ApexData",193573.00,INR,2026-08-16,"Accounts Receivable settlement - ApexData",CREDIT,"Accounts Receivable"
B3-LDG-042,LEDGER,"SET3-PAY-2026-0809-3","StreamLine Global",194670.00,INR,2026-08-19,"SaaS Revenue settlement - StreamLine Global",CREDIT,"SaaS Revenue"
