id,source,referenceId,counterparty,amount,currency,date,description,type,category
B4-LDG-001,LEDGER,"SET4-PAY-2026-0801-2","Vanguard Data",24625.50,INR,2026-09-04,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-002,LEDGER,"SET4-PAY-2026-0801-3","Summit Edge",29331.00,INR,2026-09-07,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-003,LEDGER,"SET4-PAY-2026-0801-4","Titan Logistics",34036.50,INR,2026-09-10,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-004,LEDGER,"SET4-PAY-2026-0801-5","Solstice Networks",38742.00,INR,2026-09-13,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-005,LEDGER,"SET4-PAY-2026-0801-1","CyberCore Security",43447.50,INR,2026-09-16,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-006,LEDGER,"SET4-PAY-2026-0802-2","SkyBridge Co",48153.00,INR,2026-09-19,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
B4-LDG-007,LEDGER,"SET4-PAY-2026-0802-3","Orbital Ltd",49250.00,INR,2026-09-22,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-008,LEDGER,"SET4-PAY-2026-0802-4","HorizonNet",53955.50,INR,2026-09-25,"Wire Transfer settlement - HorizonNet",CREDIT,"Wire Transfer"
B4-LDG-009,LEDGER,"SET4-PAY-2026-0802-5","Nexus Corp",58661.00,INR,2026-09-01,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-010,LEDGER,"SET4-PAY-2026-0802-1","Vertex Labs",63366.50,INR,2026-09-04,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-011,LEDGER,"SET4-PAY-2026-0803-2","Vanguard Data",68072.00,INR,2026-09-07,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-012,LEDGER,"SET4-PAY-2026-0803-3","Summit Edge",72777.50,INR,2026-09-10,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-013,LEDGER,"SET4-PAY-2026-0803-4","Titan Logistics",77483.00,INR,2026-09-13,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-014,LEDGER,"SET4-PAY-2026-0803-5","Solstice Networks",78580.00,INR,2026-09-16,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-015,LEDGER,"SET4-PAY-2026-0803-1","CyberCore Security",83285.50,INR,2026-09-19,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-016,LEDGER,"SET4-PAY-2026-0804-2","SkyBridge Co",87991.00,INR,2026-09-22,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
B4-LDG-017,LEDGER,"SET4-PAY-2026-0804-3","Orbital Ltd",92696.50,INR,2026-09-25,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-018,LEDGER,"SET4-PAY-2026-0804-4","HorizonNet",97402.00,INR,2026-09-01,"Wire Transfer settlement - HorizonNet",DEBIT,"Wire Transfer"
B4-LDG-019,LEDGER,"SET4-PAY-2026-0804-5","Nexus Corp",102107.50,INR,2026-09-04,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-020,LEDGER,"SET4-PAY-2026-0804-1","Vertex Labs",106813.00,INR,2026-09-07,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-021,LEDGER,"SET4-PAY-2026-0805-2","Vanguard Data",107910.00,INR,2026-09-10,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
B4-LDG-022,LEDGER,"SET4-PAY-2026-0805-3","Summit Edge",112615.50,INR,2026-09-13,"SaaS Revenue settlement - Summit Edge",CREDIT,"SaaS Revenue"
B4-LDG-023,LEDGER,"SET4-PAY-2026-0805-4","Titan Logistics",117321.00,INR,2026-09-16,"Consulting settlement - Titan Logistics",CREDIT,"Consulting"
B4-LDG-024,LEDGER,"SET4-PAY-2026-0805-5","Solstice Networks",122026.50,INR,2026-09-19,"License Revenue settlement - Solstice Networks",CREDIT,"License Revenue"
B4-LDG-025,LEDGER,"SET4-PAY-2026-0805-1","CyberCore Security",126732.00,INR,2026-09-22,"Enterprise Contract settlement - CyberCore Security",CREDIT,"Enterprise Contract"
B4-LDG-026,LEDGER,"SET4-PAY-2026-0806-2","SkyBridge Co",131437.50,INR,2026-09-25,"Support Fees settlement - SkyBridge Co",CREDIT,"Support Fees"
B4-LDG-027,LEDGER,"SET4-PAY-2026-0806-3","Orbital Ltd",136143.00,INR,2026-09-01,"Project Payment settlement - Orbital Ltd",CREDIT,"Project Payment"
B4-LDG-028,LEDGER,"SET4-PAY-2026-0806-4","HorizonNet",137240.00,INR,2026-09-04,"Wire Transfer settlement - HorizonNet",CREDIT,"Wire Transfer"
B4-LDG-029,LEDGER,"SET4-PAY-2026-0806-5","Nexus Corp",141945.50,INR,2026-09-07,"Vendor Payment settlement - Nexus Corp",CREDIT,"Vendor Payment"
B4-LDG-030,LEDGER,"SET4-PAY-2026-0806-1","Vertex Labs",146651.00,INR,2026-09-10,"Services settlement - Vertex Labs",CREDIT,"Services"
B4-LDG-031,LEDGER,"SET4-PAY-2026-0807-2","Vanguard Data",151356.50,INR,2026-09-13,"Accounts Receivable settlement - Vanguard Data",CREDIT,"Accounts Receivable"
